Date,SX5E,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/1/20,4778.71,8.582163811,22.79231262,165.5656433,35.08776093,97.36729431,7.785918713,23.71787262,11.3439436,11.34207916,10.0627718,14.4149313,48.91157532,146.8796997,46.41900253,10.61898804,11.0604744,5.081252575,30.74914551,34.34072495,23.8649025,23.1007328,23.27300262,11.46405602,34.90801239,23.95232773,14.39319801,16.55213928,44.14102173,26.30197334,31.81682014
2000/1/21,4719.29,8.588716507,22.11339569,161.2533112,35.43988037,100.4652786,7.573147774,23.31816864,11.17983627,11.14726925,9.862839699,14.13435364,47.86390686,154.4401245,47.20207977,10.86593342,10.90791512,4.964885235,30.78811836,33.67144394,24.37499046,22.30012321,22.8726387,11.4561491,34.56575012,24.06978607,14.10240269,16.52215958,44.44544983,26.37451172,30.03684425
2000/1/24,4718.76,8.647675514,21.82242966,159.1889343,34.64756775,96.86108398,7.436026096,23.45140266,11.09434414,10.71436691,9.760652542,14.16940498,47.89383698,161.4190063,45.24439621,10.6807251,11.28930855,4.848518848,30.27275085,32.89199066,22.29819679,21.48284912,23.32522392,11.44033909,36.07165527,24.04038239,14.05394363,16.34224892,43.3800087,27.3072052,29.70310593
2000/1/25,4653.61,8.364661217,21.72543907,152.995697,32.98749924,93.57358551,7.131838799,22.22554779,10.94049168,10.09964466,9.79176712,14.04667473,48.19318008,161.0313416,44.50481796,10.57576656,11.44186687,4.809731007,29.23333549,31.99422073,23.13619804,22.01991653,23.04671288,11.38499355,34.97647095,23.48273087,14.03459454,16.17732811,44.38455963,28.18808365,29.61412811
2000/1/26,4721.03,8.077715874,21.72543907,156.8951263,31.56639862,95.40726471,6.937980652,22.17225075,11.53882217,10.58449554,10.08051205,13.99404526,50.88720322,162.5821991,43.48246765,10.31030369,11.4927187,4.770941734,29.06010056,32.42676926,25.86882591,23.58442116,23.08153152,11.06874371,35.42136765,22.89559937,13.78255558,16.11734009,45.0543251,27.77355003,31.19378853
2000/1/27,4786.82,8.562509537,21.72543907,161.4368286,31.18911362,91.36087036,7.021512508,21.79914284,11.62431526,10.49791718,10.01832485,14.16940498,49.00138092,144.8118591,43.5042305,10.37203979,11.44186687,4.809731007,30.25109291,32.32063293,27.32622337,25.18562889,23.1337471,10.98968124,34.63421631,23.74689484,14.06849766,16.04238892,44.74988556,28.05854416,31.86128616
2000/1/28,4781.94,8.123574257,21.48296165,160.2991028,31.49093437,88.07252502,7.131838799,21.93237305,11.62431526,10.8312521,9.933915138,14.53768826,48.76190567,144.2302704,43.80874634,10.46467686,11.11132431,4.926096916,29.51484489,32.05132294,26.63396454,23.98472786,22.55931854,11.98587036,35.04494476,23.89359856,14.04909229,16.34224892,44.29323196,27.77355003,31.88357735
2000/1/31,4684.48,7.509065151,20.62946701,154.050827,30.6860733,87.88301086,6.942707539,21.27682114,11.03455067,10.21652794,9.773989677,14.25711536,48.76190567,140.3531036,42.76465607,10.18682957,10.78077984,5.003675461,28.75694275,31.42287064,26.17851448,23.15077209,22.45487595,11.66171455,32.85457611,22.89559937,13.96673107,16.19232178,43.25822067,27.48856354,30.70432091
2000/2/1,4792.04,7.743599415,21.10471153,155.151825,32.20779419,88.57874298,6.622759819,21.34609604,11.62431526,10.47627258,9.64068985,14.32725143,47.89383698,139.5776978,42.41661835,10.12509346,10.88248634,5.120043278,29.0167942,32.19822693,24.52072716,25.01883888,22.97708511,11.93052292,34.22355652,25.3906765,14.60643005,16.41719437,42.86246109,27.72172356,30.70432091
2000/2/2,4902.12,7.533959866,20.610075,154.6013641,34.10683441,90.72828674,7.09243679,22.2788353,11.45332813,10.5109024,9.50298214,14.09926987,48.94152069,145.3287811,43.5042305,10.18682957,11.11132431,5.120043278,29.0167942,33.62247086,25.61377716,24.78533363,23.84743118,13.21924114,33.53910828,26.56479073,14.75665092,16.19232178,41.55342102,27.17767334,31.3940506
