Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/2/8,5407520,1038972,489248,12575856,219306,4316328,2715773,39801,2249446,3082986,5795818,1959082,353693,96996,109083,778219,20051280,2040491,2379388,1040700,7965978,14065300,6065500,14005,331515,3884650,26497,49570,1801357,41514
2000/2/9,1695364,1436533,922618,6264116,291723,4573714,3412322,23217,1317756,3733204,7766725,1984750,532361,164296,237347,574300,19695872,2710682,4736667,1471854,11086715,11923900,3685000,12824,284345,3997290,13081,42198,2123670,77907
2000/2/10,3384048,2626756,777137,6603083,83669,3617828,2275640,49656,1243300,2411929,6680893,3468828,334700,136781,355983,157700,15103386,2862940,3998059,1051192,9221136,8975000,2898500,29098,129585,4170430,93183,36643,1466556,54867
2000/2/11,5384768,1929689,1382502,8434601,188995,5987866,3778556,99429,1967931,4022272,8013551,1789878,796444,123774,257763,351700,22695422,4938683,4418303,689612,11453917,5710000,2436500,188626,194908,4417490,27400,43593,3126346,92031
2000/2/14,4443008,1597333,709285,4853388,79697,2983316,1095408,35448,1715562,3136618,5347899,1217348,354371,173737,125751,254800,13717139,1914379,2694537,536988,5341941,14807500,2123000,11314,222468,5031290,17374,16182,1847668,85329
2000/2/15,5700368,1374143,688237,6287352,107532,3644370,2183685,124647,1272913,3499887,4650915,1926844,285478,168103,461226,282544,17176533,2164869,2865187,680344,7126090,15716800,2176500,16508,105868,4392300,32889,26752,1455788,87474
2000/2/16,6474656,1810756,917107,11755140,72584,4771744,2081401,47550,2021924,4606717,6148576,3855116,349683,182927,292516,576100,13147860,4511333,3983782,1215426,10552723,14832500,2654500,83851,1204559,4746940,56784,19739,2668407,33183
2000/2/17,3379488,2727200,1453951,8260679,29583,5374480,2360021,48564,1303587,3113694,18199513,3365962,239768,96753,276570,683400,10493284,2237458,5749973,456420,7071217,10800800,4750000,15885,1691629,6403320,21023,29349,2320883,56823
2000/2/18,5357104,2658636,763122,9241462,60077,5644034,2721677,21420,6234132,2739522,7231765,3264364,267295,166025,430412,573400,12717700,2893452,3172773,421536,7696196,4652600,8237000,10642,808118,6159340,30537,51754,2150047,41145
2000/2/21,2767184,1640089,302671,5895305,48129,2155528,907452,25224,2973134,2077537,3894908,2423676,163760,95541,192441,345900,8571758,1618699,3703338,376434,2420608,6581300,2310500,26701,389153,3138740,29992,9859,1308892,61923
